进程：249	应用层不可访问进程：13

进程名称		进程ID		父进程ID		进程路径		应用层访问		文件厂商		文件描述		启动时间		
EwServer.exe		5836		952		D:\ownApp1\solidworks\SOLIDWORKS Electrical\server\EwServer.exe		??				EwServer.exe		2021/04/15  21:44:54		
remotesolverdispatcherservice.exe		5864		952		D:\ownApp1\solidworks\SOLIDWORKS Flow Simulation\binCFW\remotesolverdispatcherservice.exe		??		Mentor Graphics Corporation		Dispatcher service		2021/04/15  21:44:54		
IntelCpHeciSvc.exe		5884		952		C:\Windows\System32\DriverStore\FileRepository\igdlh64.inf_amd64_842ac78a64ae7644\IntelCpHeciSvc.exe		??		Intel Corporation		IntelCpHeciSvc Executable		2021/04/15  21:44:54		
svchost.exe		5920		952		C:\Windows\System32\svchost.exe		??		Microsoft Corporation		Windows 服务主进程		2021/04/15  21:44:54		
explorer.exe		6180		5936		C:\Windows\explorer.exe		??		Microsoft Corporation		Windows 资源管理器		2021/04/15  21:46:16		
svchost.exe		6220		952		C:\Windows\System32\svchost.exe		??		Microsoft Corporation		Windows 服务主进程		2021/04/15  22:17:08		
dispatcher.exe		6552		5864		D:\ownApp1\solidworks\SOLIDWORKS Flow Simulation\binCFW\dispatcher.exe		??		Mentor Graphics Corporation		FloEFD Remote Solver Dispatcher		2021/04/15  21:44:54		
conhost.exe		6564		6552		C:\Windows\System32\conhost.exe		??		Microsoft Corporation		控制台窗口主进程		2021/04/15  21:44:54		
mysqld.exe		6684		5448		C:\Program Files\MySQL\MySQL Server 8.0\bin\mysqld.exe		??		信息缺失		0004e4		2021/04/15  21:44:54		
conhost.exe		6692		6684		C:\Windows\System32\conhost.exe		??		Microsoft Corporation		控制台窗口主进程		2021/04/15  21:44:54		
NVDisplay.Container.exe		6784		2188		C:\Program Files\NVIDIA Corporation\Display.NvContainer\NVDisplay.Container.exe		??		NVIDIA Corporation		NVIDIA Container		2021/04/15  21:45:51		
vcpkgsrv.exe		6912		19508		C:\vs2017\Common7\IDE\VC\vcpackages\vcpkgsrv.exe		??		Microsoft Corporation		Microsoft (R) Visual C++ Package Server		2021/04/15  23:21:13		
ServiceHub.SettingsHost.exe		7240		20460		C:\vs2017\Common7\ServiceHub\Hosts\ServiceHub.Host.CLR.x86\ServiceHub.SettingsHost.exe		??		Microsoft		ServiceHub.Host.CLR.x86		2021/04/15  22:49:38		
svchost.exe		7328		952		C:\Windows\System32\svchost.exe		??		Microsoft Corporation		Windows 服务主进程		2021/04/15  21:46:16		
conhost.exe		7816		1596		C:\Windows\System32\conhost.exe		??		Microsoft Corporation		控制台窗口主进程		2021/04/15  23:03:38		
Everything.exe		7924		18896		C:\Program Files\Everything\Everything.exe		??		voidtools		Everything		2021/04/15  22:36:41		
svchost.exe		7932		952		C:\Windows\System32\svchost.exe		??		Microsoft Corporation		Windows 服务主进程		2021/04/15  23:28:21		
svchost.exe		8208		952		C:\Windows\System32\svchost.exe		??		Microsoft Corporation		Windows 服务主进程		2021/04/15  21:44:56		
httpd.exe		8296		5488		D:\Service\Apache24\bin\httpd.exe		??		Apache Software Foundation		Apache HTTP Server		2021/04/15  21:44:57		
svchost.exe		8520		952		C:\Windows\System32\svchost.exe		??		Microsoft Corporation		Windows 服务主进程		2021/04/15  21:44:57		
ECAgent.exe		8568		5268		C:\Program Files (x86)\Sangfor\SSL\ECAgent\ECAgent.exe		??		Sangfor Technologies Inc.		Agent for EasyConnect		2021/04/15  21:46:17		
svchost.exe		8604		952		C:\Windows\System32\svchost.exe		??		Microsoft Corporation		Windows 服务主进程		2021/04/15  21:44:57		
VaCodeInspectionsServer.exe		9136		19260		C:\Users\ASUS\AppData\Local\Microsoft\VisualStudio\16.0_5ce04d0e\Extensions\oo4uhs4d.ya0\VaCodeInspectionsServer.exe		??		Whole Tomato Software, Inc.		VaCodeInspectionsServer		2021/04/15  23:02:00		
svchost.exe		9172		952		C:\Windows\System32\svchost.exe		??		Microsoft Corporation		Windows 服务主进程		2021/04/15  21:46:15		
igfxEM.exe		9472		2004		C:\Windows\System32\DriverStore\FileRepository\igdlh64.inf_amd64_842ac78a64ae7644\igfxEM.exe		??		Intel Corporation		igfxEM Module		2021/04/15  21:46:15		
RuntimeBroker.exe		9508		1032		C:\Windows\System32\RuntimeBroker.exe		??		Microsoft Corporation		Runtime Broker		2021/04/15  21:48:53		
AsMonStartupTask64.exe		9532		3864		C:\Windows\System32\DriverStore\FileRepository\atkwmiacpiio.inf_amd64_30ffacb41f78f352\AsMonStartupTask64.exe		??		ASUSTek Computer Inc.		0004b0		2021/04/15  21:46:15		
conhost.exe		9628		20548		C:\Windows\System32\conhost.exe		??		Microsoft Corporation		控制台窗口主进程		2021/04/15  23:01:37		
svchost.exe		9812		952		C:\Windows\System32\svchost.exe		??		Microsoft Corporation		Windows 服务主进程		2021/04/15  22:00:24		
svchost.exe		9888		952		C:\Windows\System32\svchost.exe		拒绝		Microsoft Corporation		Windows 服务主进程		信息缺失		
ServiceHub.SettingsHost.exe		9940		23044		C:\Program Files (x86)\Microsoft Visual Studio\2019\2017\Common7\ServiceHub\Hosts\ServiceHub.Host.CLR.x86\ServiceHub.SettingsHost.exe		??		Microsoft		ServiceHub.Host.CLR.x86		2021/04/15  23:02:01		
vcpkgsrv.exe		10032		19260		C:\Program Files (x86)\Microsoft Visual Studio\2019\2017\Common7\IDE\VC\vcpackages\vcpkgsrv.exe		??		Microsoft Corporation		Microsoft (R) Visual C++ Package Server		2021/04/15  23:27:36		
WmiPrvSE.exe		10100		1032		C:\Windows\System32\wbem\WmiPrvSE.exe		??		Microsoft Corporation		WMI Provider Host		2021/04/15  22:58:55		
vcpkgsrv.exe		10152		19508		C:\vs2017\Common7\IDE\VC\vcpackages\vcpkgsrv.exe		??		Microsoft Corporation		Microsoft (R) Visual C++ Package Server		2021/04/15  23:24:26		
svchost.exe		10216		952		C:\Windows\System32\svchost.exe		??		Microsoft Corporation		Windows 服务主进程		2021/04/15  21:45:51		
SgrmBroker.exe		10260		952		C:\Windows\System32\SgrmBroker.exe		拒绝		Microsoft Corporation		System Guard 运行时监视器代理服务		信息缺失		
svchost.exe		10300		952		C:\Windows\System32\svchost.exe		??		Microsoft Corporation		Windows 服务主进程		2021/04/15  21:46:17		
StartMenuExperienceHost.exe		10344		1032		C:\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe		??		信息缺失		信息缺失		2021/04/15  21:46:24		
AsusHWCenter64.exe		10408		2080		C:\Program Files (x86)\ASUS\ASUS Touchpad Handwriting\Exe\x64\AsusHWCenter64.exe		??		ASUSTeK Computer Inc.		ASUS Touchpad Handwriting Center		2021/04/15  21:46:18		
svchost.exe		10416		952		C:\Windows\System32\svchost.exe		??		Microsoft Corporation		Windows 服务主进程		2021/04/15  21:46:18		
TGitCache.exe		10436		23504		C:\Program Files\TortoiseGit\bin\TGitCache.exe		??		https://tortoisegit.org/		TortoiseGit status cache		2021/04/15  22:55:01		
conhost.exe		10556		20460		C:\Windows\System32\conhost.exe		??		Microsoft Corporation		控制台窗口主进程		2021/04/15  22:49:16		
